Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Jacumba Mountains linanthus,linanthus maculatus ssp. emaculatus,"dune margins, washes, flats",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jacumba pocket mouse,Perognathus longimembris internationalis,"desert willow or mesquite or acacia scrub washes, creosote scrub, native grasslands, disturbed grassland within alluvial fans and saltbush scrub flat to gentle slopes with sparse to moderately dense vegetative cover",No,Mammal,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jaeger's bush milk-vetch,Astragalus pachypus var. jaegeri,"coastal scrub, rocky or sandy areas",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jaeger's bush milk-vetch (FSS; CRPR 1B.1, Blooming Period: Dec - Jun; Habitat description: coastal scrub, rocky or sandy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jaeger's bush milk-vetch (FSS; CRPR 1B.1, Blooming Period: Dec - Jun; Habitat description: coastal scrub, rocky or sandy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jaeger's bush milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Jaeger's bush milk-vetch): If Jaeger's bush milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Jaeger's hesperidanthus,Hesperidanthus jaegeri,"rocky crevasse, cliffs, limestone clefts marble, teufel canyons, cerro gordo peak in inyo county ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jaeger's hesperidanthus (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky crevasse, cliffs, limestone clefts marble, teufel canyons, cerro gordo peak in inyo county ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jaeger's hesperidanthus (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky crevasse, cliffs, limestone clefts marble, teufel canyons, cerro gordo peak in inyo county ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jaeger's hesperidanthus): A biological survey is required. 

FSS Plant Avoidance (Jaeger's hesperidanthus): If Jaeger's hesperidanthus is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Jaeger's ivesia,Ivesia jaegeri,limestone crevasse,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jaeger's milk-vetch,Astragalus pachypus var. jaegeri,rocky or sandy areas,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jaeger's milk-vetch (FSS; CRPR 1B.1, Blooming Period: Dec - Jun; Habitat description: rocky or sandy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jaeger's milk-vetch (FSS; CRPR 1B.1, Blooming Period: Dec - Jun; Habitat description: rocky or sandy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jaeger's milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Jaeger's milk-vetch): If Jaeger's milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Jaeger's phacelia,Phacelia perityloides var jaegeri,"crevasse on cliffs, rocky often calcareous slopes",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Janish's beardtongue,Penstemon janishiae,"sagebrush scrub, savanna, pine forest igneous-clay soils in sagebrush scrub, yellow-pine forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jared's pepper grass,Lepidium jaredii ssp jaredii,"slopes, washes, dry hillsides alkali bottoms, vertical clay, gypsiferous",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jaynes Canyon buckwheat,Eriogonum diclinum,serpentine,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jennifer's monardella,Monardella stoneana,"rocky streambeds, banks of intermittent streams",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's coyote thistle,Eryngium jepsonii,clay moist clay soil,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's dodder,Cuscuta jepsonii,mixed conifer forest parasitic on ceanothus diversifolius and ceanothus prostratus; may form secondary attachment on piperia and chamaebatia,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's horkelia,Horkelia daucifolia var indicta,dry open places often on serpentine clay,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's leptosiphon,Leptosiphon jepsonii,open or partially shaded grassy slopes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's milk-vetch,Astragalus rattanii var jepsonianus,"grasslands, grassy openings in woodland and chaparral vertical clay and often serpentine ",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jepson's onion,Allium jepsonii,"open, serpentine, or volcanic slopes, flats",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jepson's onion (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: open, serpentine, or volcanic slopes, flats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jepson's onion (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: open, serpentine, or volcanic slopes, flats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jepson's onion): A biological survey is required. 

FSS Plant Avoidance (Jepson's onion): If Jepson's onion is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Johnson's bee hive cactus,Sclerocactus johnsonii,"granitic slopes and plains, scrub creosote-brush scrub",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Johnston's buckwheat,Eriogonum microthecum var. johnstonii,coniferous forest,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Johnston's buckwheat (FSS; CRPR 1B.3, Blooming Period: Jul - Sep; Habitat description: coniferous forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Johnston's buckwheat (FSS; CRPR 1B.3, Blooming Period: Jul - Sep; Habitat description: coniferous forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Johnston's buckwheat): A biological survey is required. 

FSS Plant Avoidance (Johnston's buckwheat): If Johnston's buckwheat is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Johnston's rockcress,Boechera johnstonii,"rocky areas, in chaparral, grassland, open oak/pine woodland gravelly soil",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Johnston's rockcress (FSS; CRPR 1B.2, Blooming Period: Feb - Mar; Habitat description: rocky areas, in chaparral, grassland, open oak/pine woodland gravelly soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Johnston's rockcress (FSS; CRPR 1B.2, Blooming Period: Feb - Mar; Habitat description: rocky areas, in chaparral, grassland, open oak/pine woodland gravelly soil) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Johnston's rockcress): A biological survey is required. 

FSS Plant Avoidance (Johnston's rockcress): If Johnston's rockcress is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
jointed buckwheat,Eriogonum intrafractum,gravel or rocks,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jokerst's monardella,Monardella australis ssp. jokerstii,"steep scree or talus, stony benches on canyon bottoms in forests or chaparral",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jokerst's monardella (FSS; CRPR 1B.1, Blooming Period: Jul - Sep; Habitat description: steep scree or talus, stony benches on canyon bottoms in forests or chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jokerst's monardella (FSS; CRPR 1B.1, Blooming Period: Jul - Sep; Habitat description: steep scree or talus, stony benches on canyon bottoms in forests or chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jokerst's monardella): A biological survey is required. 

FSS Plant Avoidance (Jokerst's monardella): If Jokerst's monardella is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Jolon clarkia,Clarkia jolonensis,dry woodland,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jolon clarkia (FSS; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: dry woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jolon clarkia (FSS; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: dry woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jolon clarkia): A biological survey is required. 

FSS Plant Avoidance (Jolon clarkia): If Jolon clarkia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
